loan_id,customer_id,loan_status,application_time,current_loan_amount,term,tax_liens,purpose,no_of_properties,home_ownership,annual_income,years_in_current_job,months_since_last_delinquent,no_of_cars,no_of_children,credit_score,monthly_debt,years_of_credit_history,no_of_open_accounts,no_of_credit_problems,current_credit_balance,max_open_credit,bankruptcies,month_since_last_delinquent
f71dacda-64ac-4f2b-a7f7-d5bb55eeabf7,6e9a2712-7a3f-4a72-b49d-9f41a1a0855f,loan given,2015-10-12 13:21:00,2829.0,short term,0.0,debt consolidation,2.0,,,,,,,,,,,,,,,
01720b61-fc02-444b-8da5-7af7a018c09b,5350b11d-39c5-4f56-9f46-d8105a481b73,loan refused,2015-10-01 12:39:00,23602.0,long term,0.0,debt consolidation,4.0,home mortgage,,8 years,48.0,4.0,2.0,,1060.03,20.0,8.0,1.0,21802.0,36890,1.0,
51c5bfad-ccee-4278-973d-10e03366fdcb,8181eb2e-5a96-476a-9291-1c04187065e9,loan given,2015-08-09 10:26:00,16743.0,long term,0.0,debt consolidation,2.0,,,,,,,,,,,,,,,
64806500-856f-407c-9096-550107e52a93,a0684160-7b11-46b7-8fe4-af720425ece3,loan given,2015-09-02 14:59:00,14904.0,short term,0.0,debt consolidation,4.0,,,,,,,,,,,,,,,
b89d841c-21c4-4cd1-8a0a-b7c383d6b0dc,188fbcf9-8dd6-4563-9d12-4c8c2daef4b6,loan given,2015-10-20 13:28:00,99999999.0,short term,0.0,debt consolidation,1.0,,,,,,,,,,,,,,,
87f42ded-e607-46df-94e8-efc4615829b0,49c14a4d-4675-4243-b1c4-cad2ac3e89ca,loan given,2015-10-17 12:56:00,6054.0,short term,0.0,debt consolidation,4.0,rent,55495.0,6 years,,3.0,3.0,748.0,838.9,17.0,14.0,0.0,7592.0,30736,0.0,
ad49ce72-eefd-46c1-9ee9-9a2f5180c5e6,c1e6a30d-fb94-4fb8-a0e0-03a1d70f8d37,loan refused,2015-11-28 10:59:00,9905.0,long term,0.0,debt consolidation,3.0,home mortgage,64383.0,7 years,16.0,4.0,2.0,633.0,356.79,18.0,5.0,1.0,1306.0,1387,1.0,
0a18f939-c233-4eab-abfe-8534669ef5f1,3046016c-2e1b-4b9c-b0df-4429d01b4b5d,loan given,2015-03-30 14:47:00,27499.0,long term,0.0,debt consolidation,0.0,home mortgage,132584.0,8 years,,4.0,2.0,738.0,2099.24,15.0,16.0,0.0,33562.0,42919,0.0,
932ab26f-0962-46b8-8e99-12569e1e5ea9,6b5ef663-d820-40df-9a76-1a0545c9023e,loan given,2015-08-06 12:01:00,3647.0,short term,0.0,major_purchase,2.0,,,,,,,,,,,,,,,
c9fd233d-a9df-4f8d-8e7d-448d5bfe2870,ffe624ce-0ecc-4cb8-8e6c-254a10dd6784,loan given,2015-09-24 13:00:00,12909.0,long term,0.0,debt consolidation,1.0,home mortgage,,9 years,,0.0,3.0,,1506.05,12.0,13.0,0.0,13279.0,22355,0.0,
dee1265f-387e-4319-bc64-ce75037e40d7,e0b22e11-0b5e-486f-ba42-76e5f79a9561,loan refused,2015-02-05 10:21:00,20441.0,long term,0.0,major_purchase,4.0,own home,,10+ years,,0.0,2.0,,451.14,17.0,3.0,0.0,17120.0,19300,0.0,
118a6997-d845-498f-ba9a-81377e8e8ff7,7b2e63e2-bd26-4ebb-a974-d9ab50e21125,loan refused,2015-09-18 13:24:00,10635.0,short term,0.0,business loan,1.0,home mortgage,35452.0,1 year,28.0,3.0,1.0,666.0,1001.5,10.0,12.0,0.0,6616.0,24780,0.0,
f376ef15-53ff-4519-bbd8-82e9ca50bded,6bc314df-193a-48e6-a5b8-a5448a1af867,loan given,2015-11-05 10:00:00,14708.0,short term,0.0,debt consolidation,3.0,rent,,7 years,,1.0,2.0,,663.31,11.0,12.0,0.0,15640.0,47250,0.0,
ab9bdc40-08a5-425d-8a38-ff0ccac9d613,fb6e94fa-e30a-499a-92cd-d1ec41c88a9e,loan given,2015-07-18 14:05:00,20530.0,short term,0.0,business loan,0.0,,,,,,,,,,,,,,,
f3ccb60c-effb-4429-8c4d-af6cd0c9ffc2,d77013ab-484c-4696-94b2-aa8b8f10c077,loan given,2015-08-28 14:24:00,11833.0,short term,0.0,home improvements,4.0,home mortgage,45806.0,7 years,,5.0,1.0,751.0,216.81,18.0,7.0,0.0,10090.0,26979,0.0,
763c3d2e-9765-4b59-aa24-a137506a2ae8,cde293a8-4fa8-4884-a55b-f16b3c075330,loan refused,2015-11-30 14:55:00,24490.0,long term,0.0,debt consolidation,4.0,own home,54535.0,< 1 year,34.0,1.0,0.0,718.0,1236.12,21.0,14.0,0.0,17385.0,20896,0.0,
d41c3e02-8fb7-4261-8bd0-84ee5ada4a2a,9aa2db97-3e56-4ec7-8c4a-115b956ae0d2,loan given,2015-02-25 11:43:00,1005.0,short term,0.0,home improvements,0.0,home mortgage,40694.0,3 years,,0.0,1.0,729.0,447.64,19.0,15.0,0.0,4522.0,21532,0.0,
e5db68f1-4744-44b3-9ea2-4997dde13075,d798813b-6949-418c-a77d-325f368c6758,loan given,2015-09-27 12:53:00,13773.0,short term,0.0,other,3.0,rent,80136.0,2 years,10.0,0.0,0.0,734.0,341.91,8.0,14.0,0.0,1678.0,39949,0.0,
4bb4315b-fa22-4fa6-b6c9-1753206fc4af,5ee7597e-d610-4586-8145-0714ea65b451,loan given,2015-07-04 12:59:00,99999999.0,short term,0.0,debt consolidation,3.0,own home,42025.0,6 years,19.0,2.0,1.0,736.0,154.8,10.0,7.0,1.0,2376.0,7471,1.0,
513a3699-3e36-4162-aefe-0639b3213817,7cdb446a-d445-4d24-87ce-92eef0ed8c10,loan given,2015-07-03 11:23:00,24413.0,short term,0.0,debt consolidation,3.0,rent,122064.0,3 years,53.0,2.0,0.0,751.0,1749.58,15.0,14.0,0.0,34422.0,57274,0.0,
fccabb7c-4902-40fc-8f57-b75d2acac578,45308728-c458-4275-986a-f41af94439f9,loan given,2015-03-29 10:33:00,14747.0,long term,0.0,debt consolidation,4.0,,,,,,,,,,,,,,,
